hour_utc,samples,pack_current_avg_a,pack_voltage_avg_v,cell_min_avg_mv,cell_max_avg_mv,delta_avg_mv,delta_max_mv,temp_max_avg_c,temp_min_avg_c
2026-03-25 16:00:00,120,0.00,0.1,3540,3560,20.0,20,11.0,13.5
2026-03-25 17:00:00,120,0.00,0.1,3540,3560,20.0,20,11.0,13.5
2026-03-25 18:00:00,118,0.00,206.3,3540,3560,20.0,20,11.0,13.5
2026-03-25 19:00:00,70,0.00,342.8,3540,3560,20.0,20,11.0,13.5
2026-03-27 06:00:00,52,0.00,342.5,3540,3560,20.0,20,11.0,11.5
2026-03-27 07:00:00,120,0.00,342.5,3540,3560,20.0,20,11.7,11.0
2026-03-27 08:00:00,119,0.00,342.5,3540,3560,20.0,20,12.0,11.0
2026-03-27 09:00:00,120,0.00,342.5,3540,3560,20.0,20,12.3,11.0
2026-03-27 10:00:00,120,0.00,342.5,3540,3560,20.0,20,12.5,11.0
2026-03-27 11:00:00,119,0.00,342.5,3540,3560,20.0,20,12.6,11.0
2026-03-27 12:00:00,123,0.00,342.5,3540,3560,19.9,20,13.0,11.3
2026-03-27 13:00:00,120,0.00,342.5,3540,3560,20.0,20,13.0,11.5
2026-03-27 14:00:00,120,0.00,342.5,3540,3560,20.0,20,13.0,11.5
2026-03-27 15:00:00,123,0.00,342.5,3540,3560,20.0,20,13.0,11.5
2026-03-27 16:00:00,119,0.00,342.4,3550,3569,18.8,20,13.0,11.5
2026-03-27 17:00:00,120,0.00,342.4,3554,3572,18.1,20,13.1,11.5
2026-03-27 18:00:00,120,0.00,342.4,3554,3572,18.0,20,13.4,11.5
2026-03-27 19:00:00,122,0.00,342.4,3554,3572,17.7,20,13.5,11.4
2026-03-27 20:00:00,119,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-27 21:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-27 22:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-27 23:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 00:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 01:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 02:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 03:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 04:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 05:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 06:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 07:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 08:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 09:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 10:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 11:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 12:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
