timestamp_utc,bus,direction,can_id_hex,dlc,data_hex,is_extended,is_fd,is_brs
2026-05-10 21:58:01.265,can_fd,rx,0x216,7,01FA8E8C8AFB1D,f,f,f
2026-05-10 21:58:01.265,can_fd,rx,0x2C7,6,036000A8E000,f,f,f
2026-05-10 21:58:01.265,can_fd,rx,0x260,8,3C5A5A5B5A000000,f,f,f
2026-05-10 21:58:01.265,can_fd,rx,0x262,3,5A5A5A,f,f,f
2026-05-10 21:58:01.265,can_fd,rx,0x270,8,5B5B5B585B5B5B58,f,f,f
2026-05-10 21:58:01.266,can_fd,rx,0x272,8,5858585858585858,f,f,f
2026-05-10 21:58:01.266,can_fd,rx,0x274,2,5858,f,f,f
2026-05-10 21:58:01.277,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.282,can_fd,tx,0x7E7,8,032282A300000000,f,f,f
2026-05-10 21:58:01.288,can_fd,rx,0x200,8,15F7F5FCAFE83800,f,f,f
2026-05-10 21:58:01.288,can_fd,rx,0x202,8,1613F616B0A03800,f,f,f
2026-05-10 21:58:01.289,can_fd,rx,0x204,8,15ECF5EBAF683800,f,f,f
2026-05-10 21:58:01.289,can_fd,rx,0x206,8,1610F612B0903800,f,f,f
2026-05-10 21:58:01.289,can_fd,rx,0x208,8,0000000000003800,f,f,f
2026-05-10 21:58:01.290,can_fd,rx,0x7EF,8,046282A3A8AAAAAA,f,f,f
2026-05-10 21:58:01.290,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.290,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.290,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.297,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.313,can_fd,rx,0x200,8,1600F5FDB0E85800,f,f,f
2026-05-10 21:58:01.313,can_fd,rx,0x202,8,1614F614B0A05800,f,f,f
2026-05-10 21:58:01.314,can_fd,rx,0x208,8,0000000000005800,f,f,f
2026-05-10 21:58:01.314,can_fd,rx,0x206,8,1614F613AFA05800,f,f,f
2026-05-10 21:58:01.314,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.314,can_fd,rx,0x204,8,15EDF5EDB0785800,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x274,2,6060,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x302,8,037171737B74751E,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x272,8,6060606060606060,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x270,8,6363636063636360,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x3E3,7,AFB17BA57101B0,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.315,can_fd,rx,0x260,8,4062626362000000,f,f,f
