timestamp_utc,soc_pct,pack_voltage_v,pack_current_a,cell_min_mv,cell_min_no,cell_max_mv,cell_max_no,delta_mv,bicm_status,our_derived_active,temp_max_c
2026-05-09 11:00:16,0.3,324.30,0.00,3270,49,3418,9,148,,true,24.0
2026-05-09 11:00:46,0.3,324.30,-0.10,3270,49,3419,14,149,,true,24.0
2026-05-09 11:01:16,0.3,324.30,-0.10,3270,49,3419,14,149,,true,24.0
2026-05-09 11:01:46,0.3,324.30,-0.10,3270,49,3419,14,149,,true,24.0
2026-05-09 11:02:16,0.3,324.30,-0.10,3271,49,3419,11,148,,true,24.0
2026-05-09 11:02:46,0.3,324.30,-0.10,3270,49,3420,11,150,,true,24.0
2026-05-09 11:03:16,0.3,324.30,0.00,3270,49,3419,11,149,,true,24.0
2026-05-09 11:03:46,0.3,324.30,0.00,3269,49,3419,14,150,,true,24.0
2026-05-09 11:04:16,0.3,324.30,-0.10,3271,49,3419,13,148,,true,24.0
2026-05-09 11:04:46,0.3,324.30,-0.10,3270,49,3418,11,148,,true,24.0
2026-05-09 11:05:16,0.3,324.30,-0.10,3271,49,3419,11,148,,true,24.0
2026-05-09 11:05:46,0.3,324.30,0.00,3270,49,3419,14,149,,true,24.0
2026-05-09 11:06:16,0.3,324.30,-0.10,3270,49,3419,14,149,,true,24.0
2026-05-09 11:06:46,0.3,324.30,-0.10,3270,49,3419,11,149,,true,24.0
2026-05-09 11:07:16,0.3,324.30,0.00,3270,49,3418,11,148,,true,24.0
2026-05-09 11:07:46,0.3,324.30,0.00,3270,49,3419,11,149,,true,24.0
2026-05-09 11:08:16,0.3,324.30,0.00,3270,49,3419,13,149,,true,24.0
2026-05-09 11:08:46,0.3,324.30,0.00,3270,49,3419,11,149,,true,24.0
2026-05-09 11:09:16,0.3,324.30,0.00,3270,49,3419,11,149,,true,24.0
2026-05-09 11:10:31,0.3,324.30,-0.20,3270,49,3420,11,150,0,true,24.0
2026-05-09 11:11:01,0.3,324.30,-0.20,3270,49,3419,13,149,0,true,24.0
2026-05-09 11:11:02,0.3,324.30,-0.20,3270,49,3419,13,149,0,true,24.0
2026-05-09 11:11:03,0.3,324.30,-0.20,3270,49,3419,11,149,0,true,24.0
2026-05-09 11:11:04,0.3,324.30,-0.30,3270,49,3419,11,149,0,true,24.0
2026-05-09 11:11:07,0.3,324.30,-0.30,3270,49,3419,14,149,0,true,24.0
2026-05-09 11:11:31,0.3,324.30,-0.30,3270,49,3419,13,149,0,true,24.0
2026-05-09 11:12:01,0.3,325.30,9.70,3281,49,3429,11,148,0,true,24.0
2026-05-09 11:12:31,0.3,325.60,10.00,3288,49,3431,14,143,0,true,24.0
2026-05-09 11:13:01,0.4,325.80,10.10,3290,49,3433,11,143,0,true,24.0
2026-05-09 11:13:31,0.4,326.00,9.70,3293,49,3435,14,142,0,true,24.0
2026-05-09 11:14:01,0.5,326.20,10.20,3296,49,3435,9,139,0,true,24.0
2026-05-09 11:14:31,0.5,326.40,9.90,3300,49,3436,11,136,0,true,24.0
2026-05-09 11:15:01,0.6,326.60,9.90,3304,49,3439,11,135,0,true,24.0
2026-05-09 11:15:31,0.6,326.80,10.00,3305,49,3440,14,135,0,true,24.0
2026-05-09 11:16:01,0.7,327.00,9.80,3309,49,3440,9,131,0,true,24.0
2026-05-09 11:16:31,0.7,327.10,10.00,3311,49,3441,13,130,0,true,24.0
2026-05-09 11:17:01,0.8,327.30,10.00,3314,49,3443,9,129,0,true,24.0
2026-05-09 11:17:31,0.8,327.40,9.90,3316,49,3443,10,127,0,true,24.0
2026-05-09 11:18:01,0.8,327.60,10.10,3319,49,3444,13,125,0,true,24.0
2026-05-09 11:18:31,0.9,327.70,9.80,3323,49,3445,16,122,0,true,24.0
2026-05-09 11:19:01,0.9,327.80,9.90,3325,49,3446,14,121,0,true,24.0
2026-05-09 11:19:31,1.0,328.00,10.20,3326,49,3446,13,120,0,true,24.0
2026-05-09 11:20:01,1.0,328.10,10.00,3329,49,3448,15,119,0,true,24.0
2026-05-09 11:20:31,1.1,328.20,9.90,3333,49,3448,11,115,0,true,24.0
2026-05-09 11:21:01,1.1,328.40,10.10,3334,49,3449,14,115,0,true,24.0
2026-05-09 11:21:31,1.2,328.50,9.90,3339,49,3449,11,110,0,true,24.0
2026-05-09 11:22:01,1.2,328.60,10.20,3339,49,3449,11,110,0,true,24.0
2026-05-09 11:22:31,1.3,328.70,10.00,3343,49,3451,16,108,0,true,24.0
2026-05-09 11:23:01,1.3,328.90,9.80,3345,49,3450,11,105,0,true,24.0
2026-05-09 11:23:31,1.4,329.00,10.10,3348,49,3451,14,103,0,true,24.0
2026-05-09 11:24:01,1.4,329.10,9.80,3349,49,3451,15,102,0,true,24.0
2026-05-09 11:24:31,1.4,329.20,9.90,3351,49,3451,13,100,0,true,24.0
2026-05-09 11:25:01,1.5,329.30,10.20,3354,49,3453,11,99,0,true,24.0
2026-05-09 11:25:31,1.5,329.40,9.90,3355,49,3453,15,98,0,true,24.0
2026-05-09 11:26:01,1.6,329.50,10.10,3358,49,3454,15,96,0,true,24.0
2026-05-09 11:26:31,1.6,329.60,10.20,3360,49,3454,15,94,0,true,24.0
2026-05-09 11:27:01,1.7,329.70,9.80,3363,49,3454,11,91,0,true,24.0
2026-05-09 11:27:31,1.7,329.70,10.10,3365,49,3454,11,89,0,true,24.0
2026-05-09 11:28:01,1.8,329.80,9.90,3368,49,3455,15,87,0,true,24.0
2026-05-09 11:28:31,1.8,329.90,9.90,3370,49,3455,12,85,0,true,24.0
2026-05-09 11:29:01,1.9,330.00,10.20,3371,49,3455,13,84,0,true,24.0
2026-05-09 11:29:31,1.9,330.10,9.80,3374,49,3455,9,81,0,true,24.0
2026-05-09 11:30:01,1.9,330.20,10.00,3376,49,3456,9,80,0,true,24.0
2026-05-09 11:30:31,2.0,330.20,10.00,3379,49,3456,13,77,0,true,24.0
2026-05-09 11:31:01,2.0,330.30,9.90,3380,49,3456,15,76,0,true,24.0
2026-05-09 11:31:31,2.1,330.40,10.20,3383,49,3456,11,73,0,true,24.0
2026-05-09 11:32:01,2.1,330.40,9.80,3384,49,3458,16,74,0,true,24.0
2026-05-09 11:32:31,2.2,330.50,10.00,3385,49,3458,13,73,0,true,24.0
2026-05-09 11:33:01,2.2,330.60,10.10,3388,49,3458,9,70,0,true,24.0
2026-05-09 11:33:31,2.3,330.60,9.80,3390,49,3459,16,69,0,true,24.0
2026-05-09 11:34:01,2.3,330.70,10.00,3393,49,3459,13,66,0,true,24.0
2026-05-09 11:34:31,2.4,330.70,10.10,3395,49,3460,16,65,0,true,24.0
2026-05-09 11:35:01,2.4,330.80,9.80,3396,49,3459,11,63,0,true,24.0
